simulation,burned_area,duration,category
1,16,25,fire_at_bush
2,1097,241,fire_at_bush
3,293,68,fire_at_bush
4,831,255,fire_at_bush
5,947,304,fire_at_bush
6,1094,221,fire_at_bush
7,756,222,fire_at_bush
8,976,252,fire_at_bush
9,485,123,fire_at_bush
10,411,100,fire_at_bush
11,729,266,fire_at_bush
12,4,12,fire_at_bush
13,980,193,fire_at_bush
14,755,425,fire_at_bush
15,2,4,fire_at_bush
16,304,60,fire_at_bush
17,298,75,fire_at_bush
18,619,133,fire_at_bush
19,1265,232,fire_at_bush
20,357,82,fire_at_bush
21,335,106,fire_at_bush
22,972,336,fire_at_bush
23,918,264,fire_at_bush
24,215,58,fire_at_bush
25,1110,386,fire_at_bush
26,390,103,fire_at_bush
27,636,155,fire_at_bush
28,1094,319,fire_at_bush
29,381,77,fire_at_bush
30,987,288,fire_at_bush
31,445,124,fire_at_bush
32,332,74,fire_at_bush
33,363,69,fire_at_bush
34,479,128,fire_at_bush
35,844,228,fire_at_bush
36,400,116,fire_at_bush
37,419,126,fire_at_bush
38,330,98,fire_at_bush
39,284,55,fire_at_bush
40,1127,319,fire_at_bush
41,963,204,fire_at_bush
42,404,121,fire_at_bush
43,997,237,fire_at_bush
44,6,12,fire_at_bush
45,939,193,fire_at_bush
46,389,136,fire_at_bush
47,100,105,fire_at_bush
48,870,196,fire_at_bush
49,684,172,fire_at_bush
50,943,193,fire_at_bush
1,1171,344,fire_at_non_bush
2,737,201,fire_at_non_bush
3,469,117,fire_at_non_bush
4,991,230,fire_at_non_bush
5,761,158,fire_at_non_bush
6,1011,400,fire_at_non_bush
7,1063,256,fire_at_non_bush
8,471,157,fire_at_non_bush
9,29,45,fire_at_non_bush
10,105,71,fire_at_non_bush
11,963,171,fire_at_non_bush
12,2,4,fire_at_non_bush
13,1182,257,fire_at_non_bush
14,299,181,fire_at_non_bush
15,485,195,fire_at_non_bush
16,21,21,fire_at_non_bush
17,681,201,fire_at_non_bush
18,537,138,fire_at_non_bush
19,897,171,fire_at_non_bush
20,722,332,fire_at_non_bush
21,519,213,fire_at_non_bush
22,949,238,fire_at_non_bush
23,82,66,fire_at_non_bush
24,505,122,fire_at_non_bush
25,1,1,fire_at_non_bush
26,4,11,fire_at_non_bush
27,980,162,fire_at_non_bush
28,1361,300,fire_at_non_bush
29,127,84,fire_at_non_bush
30,14,22,fire_at_non_bush
31,96,71,fire_at_non_bush
32,109,125,fire_at_non_bush
33,87,77,fire_at_non_bush
34,2,4,fire_at_non_bush
35,64,60,fire_at_non_bush
36,1069,295,fire_at_non_bush
37,175,116,fire_at_non_bush
38,726,152,fire_at_non_bush
39,5,11,fire_at_non_bush
40,90,77,fire_at_non_bush
41,938,200,fire_at_non_bush
42,515,211,fire_at_non_bush
43,1050,211,fire_at_non_bush
44,417,148,fire_at_non_bush
45,905,318,fire_at_non_bush
46,466,183,fire_at_non_bush
47,1104,285,fire_at_non_bush
48,999,253,fire_at_non_bush
49,248,189,fire_at_non_bush
50,77,54,fire_at_non_bush
