simulation,burned_area,duration,wind_speed,wind_direction
1,379,76,0,N
2,430,116,0,N
3,485,109,0,N
4,504,86,0,N
5,614,175,0,N
6,294,52,0,N
7,462,122,0,N
8,699,121,0,N
9,309,60,0,N
10,398,127,0,N
11,172,40,0,N
12,375,103,0,N
13,522,131,0,N
14,837,199,0,N
15,1142,200,0,N
16,468,114,0,N
17,903,169,0,N
18,424,121,0,N
19,626,116,0,N
20,638,206,0,N
21,1088,198,0,N
22,672,145,0,N
23,522,103,0,N
24,853,197,0,N
25,992,192,0,N
26,519,123,0,N
27,770,171,0,N
28,775,134,0,N
29,930,160,0,N
30,5,7,0,N
31,399,113,0,N
32,459,98,0,N
33,910,200,0,N
34,1114,197,0,N
35,510,110,0,N
36,1174,246,0,N
37,914,194,0,N
38,384,92,0,N
39,1259,159,0,N
40,1116,237,0,N
41,507,107,0,N
42,522,124,0,N
43,1232,155,0,N
44,574,93,0,N
45,452,103,0,N
46,1144,204,0,N
47,393,108,0,N
48,550,124,0,N
49,218,76,0,N
50,757,143,0,N
